,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
180,IVR,Invesco Mortgage Capital Inc.,442.93M,0.77%,215317,3.87M
181,ORC,"Orchid Island Capital, Inc.",442.23M,0.29%,136507,-20.70M
182,STRW,Strawberry Fields REIT LLC,411.81M,-,1,97.90M
183,ACRE,Ares Commercial Real Estate Corporation,410.89M,1.19%,117109,92.93M
184,MLP,"Maui Land & Pineapple Company, Inc.",391.11M,-0.20%,590,9.05M
185,PSTL,"Postal Realty Trust, Inc.",391.02M,-0.07%,12248,63.71M
186,CTO,"CTO Realty Growth, Inc.",389.11M,-0.70%,27721,109.12M
187,RMR,The RMR Group Inc.,387.31M,0.69%,14552,973.25M
188,TCI,"Transcontinental Realty Investors, Inc.",335.21M,-,347,49.24M
189,NLOP,Net Lease Office Properties,332.04M,3.85%,27766,174.97M
190,NREF,"NexPoint Real Estate Finance, Inc.",323.58M,0.55%,6720,28.68M
191,ARL,"American Realty Investors, Inc.",320.46M,1.85%,1859,49.76M
192,BRT,BRT Apartments Corp.,299.77M,-0.53%,1663,92.82M
193,REFI,"Chicago Atlantic Real Estate Finance, Inc.",294.19M,1.17%,38018,57.07M
194,ILPT,Industrial Logistics Properties Trust,266.00M,-1.11%,21556,437.34M
195,AOMR,"Angel Oak Mortgage, Inc.",258.14M,-0.77%,4202,17.01M
196,FLJ,FLJ Group Limited,257.96M,-2.90%,14769,-
197,RMAX,"RE/MAX Holdings, Inc.",257.79M,0.36%,22984,325.67M
198,NEN,New England Realty Associates LP,251.34M,-,186,72.46M
199,AFCG,"AFC Gamma, Inc.",245.32M,2.42%,73195,64.18M
200,GPMT,Granite Point Mortgage Trust Inc.,242.28M,0.31%,80492,-19.81M
201,FSP,Franklin Street Properties Corp.,236.85M,-1.09%,51664,145.71M
202,PINE,"Alpine Income Property Trust, Inc.",234.50M,0.76%,2941,45.64M
203,OZ,"Belpointe PREP, LLC",226.40M,-1.60%,200,2.16M
204,CLPR,Clipper Realty Inc.,211.06M,0.02%,9411,136.35M
205,ONL,Orion Office REIT Inc.,198.03M,-0.28%,71326,195.04M
206,OPAD,Offerpad Solutions Inc.,197.54M,7.18%,18210,1.31B
