,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
148,ZEUS,"Olympic Steel, Inc.",712.26M,-2.00%,8997,2.16B
149,DRD,DRDGOLD Limited,690.92M,3.87%,89063,16.85M
150,UAN,"CVR Partners, LP",690.41M,-0.29%,11330,681.48M
151,MERC,Mercer International Inc.,665.91M,0.30%,26271,1.99B
152,CLW,Clearwater Paper Corporation,662.16M,0.45%,14645,2.08B
153,NFGC,New Found Gold Corp.,657.79M,3.98%,261982,-
154,METCB,"Ramaco Resources, Inc.",583.28M,-2.33%,5144,626.02M
155,LXU,"LSB Industries, Inc.",549.66M,-1.26%,75955,593.71M
156,HDSN,"Hudson Technologies, Inc.",531.47M,-4.67%,176100,291.61M
157,GATO,"Gatos Silver, Inc.",531.31M,2.21%,69854,-
158,ODC,Oil-Dri Corporation of America,518.04M,-3.07%,8324,429.92M
159,CPAC,Cementos Pacasmayo S.A.A.,515.44M,1.78%,1338,525.63M
160,LWLG,"Lightwave Logic, Inc.",506.54M,1.06%,144078,40.50K
161,TGB,Taseko Mines Limited,502.38M,-,753923,394.72M
162,LZM,Lifezone Metals Limited,496.53M,-0.29%,484,3.99M
163,TMC,TMC the metals company Inc.,496.31M,2.47%,635461,-
164,SVM,Silvercorp Metals Inc.,480.95M,2.57%,482794,206.65M
165,IAUX,i-80 Gold Corp.,477.09M,2.23%,838755,40.72M
166,ARMN,Aris Mining Corporation,454.85M,-2.08%,104952,447.67M
167,VHI,"Valhi, Inc.",415.84M,-1.22%,356,1.98B
168,MUX,McEwen Mining Inc.,401.09M,3.45%,255370,135.79M
169,SKE,Skeena Resources Limited,400.30M,0.95%,68766,-
170,EXK,Endeavour Silver Corp.,377.43M,14.02%,4976426,236.95M
171,IPX,IperionX Limited,320.94M,-1.53%,2626,-
172,AVD,American Vanguard Corporation,311.37M,-0.05%,20446,567.17M
173,GROY,Gold Royalty Corp.,275.42M,6.88%,570053,2.61M
174,VZLA,Vizsla Silver Corp.,271.13M,-0.85%,157552,-
175,PLL,Piedmont Lithium Inc.,266.99M,2.18%,189706,39.82M
176,IPI,"Intrepid Potash, Inc.",265.58M,-0.20%,33219,279.08M
177,GAU,Galiano Gold Inc.,260.84M,1.30%,240996,-
178,RYAM,Rayonier Advanced Materials Inc.,256.36M,6.12%,209143,1.64B
179,MTA,Metalla Royalty & Streaming Ltd.,256.18M,7.77%,326522,2.91M
180,FF,FutureFuel Corp.,248.14M,1.06%,44737,394.06M
181,PPTA,Perpetua Resources Corp.,241.05M,2.89%,71081,-
182,MSB,Mesabi Trust,239.70M,-1.75%,9363,14.46M
183,WRN,Western Copper and Gold Corporation,235.64M,-0.36%,9130,-
184,SLI,Standard Lithium Ltd.,224.26M,1.98%,435187,-
185,NMG,Nouveau Monde Graphite Inc.,221.81M,-,12010,-
186,IONR,ioneer Ltd,219.59M,0.23%,3603,-
