,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
167,FSK,FS KKR Capital Corp.,5.38B,0.47%,539925,1.83B
168,MTG,MGIC Investment Corporation,5.33B,2.94%,517420,1.16B
169,FCFS,"FirstCash Holdings, Inc",5.25B,0.08%,18188,3.15B
170,AMG,"Affiliated Managers Group, Inc.",5.22B,-0.09%,19659,2.06B
171,JHG,Janus Henderson Group plc,5.19B,-0.75%,78798,2.10B
172,AXS,AXIS Capital Holdings Limited,5.17B,0.41%,94402,5.64B
173,CADE,Cadence Bank,5.09B,0.04%,166883,1.65B
174,AGO,Assured Guaranty Ltd.,5.01B,-0.86%,31119,1.37B
175,OZK,Bank OZK,4.99B,-0.27%,202928,1.79B
176,ONB,Old National Bancorp,4.91B,-0.12%,157889,1.78B
177,FNB,F.N.B. Corporation,4.90B,-0.22%,134199,1.50B
178,HOMB,"Home Bancshares, Inc. (Conway, AR)",4.82B,0.23%,92866,984.75M
179,WU,The Western Union Company,4.80B,-,769926,4.36B
180,BNRE,Brookfield Reinsurance Ltd.,4.73B,0.07%,1772,6.25B
181,UBSI,"United Bankshares, Inc.",4.72B,0.94%,88726,1.02B
182,THG,"The Hanover Insurance Group, Inc.",4.66B,-0.18%,7980,5.99B
183,FFIN,"First Financial Bankshares, Inc.",4.65B,-0.12%,27852,481.18M
184,COOP,Mr. Cooper Group Inc.,4.64B,-0.67%,26093,1.79B
185,LNC,Lincoln National Corporation,4.59B,-1.15%,256770,11.65B
186,GBCI,"Glacier Bancorp, Inc.",4.59B,-0.12%,68363,794.97M
187,DNB,"Dun & Bradstreet Holdings, Inc.",4.58B,-1.05%,223987,2.31B
188,JXN,Jackson Financial Inc.,4.57B,2.09%,358947,3.16B
189,ACT,"Enact Holdings, Inc.",4.57B,1.41%,35244,1.15B
190,SLM,SLM Corporation,4.56B,0.39%,676648,1.46B
191,FG,"F&G Annuities & Life, Inc.",4.54B,-0.42%,6936,4.50B
192,ESGR,Enstar Group Limited,4.49B,-0.23%,2339,1.43B
193,RDN,Radian Group Inc.,4.47B,4.44%,613772,1.24B
194,FRHC,Freedom Holding Corp.,4.42B,0.20%,4131,1.40B
195,AEL,American Equity Investment Life Holding Company,4.41B,0.02%,25374,2.84B
196,BNRE.A,Brookfield Reinsurance Ltd,4.40B,-1.19%,500,6.25B
197,WTM,"White Mountains Insurance Group, Ltd.",4.40B,0.45%,3794,2.17B
198,PFSI,"PennyMac Financial Services, Inc.",4.38B,-1.29%,44184,1.40B
199,COLB,"Columbia Banking System, Inc.",4.07B,0.38%,472951,1.78B
200,GGAL,Grupo Financiero Galicia S.A.,4.05B,-2.39%,96774,1.73B
201,VLY,Valley National Bancorp,4.05B,2.95%,2016662,1.84B
202,UMBF,UMB Financial Corporation,4.04B,-0.53%,13283,1.42B
203,CRVL,CorVel Corporation,3.98B,-0.58%,3068,773.52M
204,PJT,PJT Partners Inc.,3.96B,-0.46%,50757,1.15B
205,MAIN,Main Street Capital Corporation,3.90B,0.50%,63637,500.39M
206,AB,AllianceBernstein Holding L.P.,3.87B,-0.45%,47761,299.78M
207,HWC,Hancock Whitney Corporation,3.84B,-0.85%,28434,1.33B
208,STEP,StepStone Group Inc.,3.83B,-0.15%,31229,527.20M
209,CNS,"Cohen & Steers, Inc.",3.74B,-,11456,489.64M
210,KMPR,Kemper Corporation,3.71B,0.73%,33799,4.94B
211,TFSL,TFS Financial Corporation,3.60B,-0.39%,32224,301.59M
212,SFBS,"ServisFirst Bancshares, Inc.",3.57B,0.02%,8615,422.64M
213,MC,Moelis & Company,3.55B,-0.90%,72347,854.75M
214,AMTD,AMTD IDEA Group,3.51B,1.52%,2869,235.75M
215,LAZ,Lazard Ltd,3.45B,-1.41%,90705,2.52B
216,BGC,"BGC Group, Inc",3.39B,-0.82%,825603,2.03B
217,IBOC,International Bancshares Corporation,3.35B,0.56%,25987,798.87M
218,NNI,"Nelnet, Inc.",3.28B,-0.58%,21452,1.15B
219,ABCB,Ameris Bancorp,3.28B,-,14039,935.22M
220,IFS,Intercorp Financial Services Inc.,3.25B,0.39%,2580,1.15B
221,ASB,Associated Banc-Corp,3.19B,-0.76%,143119,1.02B
222,UCBI,"United Community Banks, Inc.",3.12B,-0.19%,32710,803.82M
223,WD,"Walker & Dunlop, Inc.",3.11B,-0.01%,72078,1.05B
224,APAM,Artisan Partners Asset Management Inc.,3.08B,-0.40%,30150,975.13M
225,LU,Lufax Holding Ltd,3.08B,5.09%,943168,5.46B
226,BUR,Burford Capital Limited,3.07B,-1.46%,203221,-
227,BMA,Banco Macro S.A.,3.05B,-2.58%,20020,2.81B
228,AVAL,Grupo Aval Acciones y Valores S.A.,3.03B,-1.22%,3338,2.82B
229,VIRT,"Virtu Financial, Inc.",3.02B,1.88%,109463,2.29B
230,HGTY,"Hagerty, Inc.",3.01B,-0.11%,9330,952.17M
231,GSHD,"Goosehead Insurance, Inc",3.01B,-2.40%,23119,261.28M
232,FHI,"Federated Hermes, Inc.",2.98B,1.03%,108237,1.61B
233,CATY,Cathay General Bancorp,2.95B,-0.79%,43186,784.06M
234,BANF,BancFirst Corporation,2.94B,-0.41%,1494,602.41M
235,AX,"Axos Financial, Inc.",2.93B,0.08%,82855,1.03B
236,CNO,"CNO Financial Group, Inc.",2.92B,-0.77%,67072,4.15B
237,BHF,"Brighthouse Financial, Inc.",2.91B,0.28%,30560,4.12B
238,PIPR,Piper Sandler Companies,2.90B,-0.69%,14959,1.35B
239,FBP,First BanCorp.,2.88B,-1.54%,148363,868.86M
240,TCBI,"Texas Capital Bancshares, Inc.",2.88B,-0.13%,80111,1.00B
241,HTGC,"Hercules Capital, Inc.",2.87B,0.08%,216053,460.67M
242,FIBK,"First Interstate BancSystem, Inc.",2.76B,1.05%,292492,993.60M
243,GNW,"Genworth Financial, Inc.",2.75B,0.24%,592658,7.49B
244,FHB,"First Hawaiian, Inc.",2.74B,-,59798,810.31M
245,AMK,"AssetMark Financial Holdings, Inc.",2.69B,-1.44%,16418,714.45M
246,GBDC,"Golub Capital BDC, Inc.",2.68B,0.16%,146151,630.98M
247,MCY,Mercury General Corporation,2.68B,-1.78%,18325,4.63B
