,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
208,BRFH,"Barfresh Food Group, Inc.",15.74M,0.86%,212,7.64M
209,MTEX,"Mannatech, Incorporated",15.18M,-1.21%,132,133.60M
210,EDTK,Skillful Craftsman Education Technology Limited,14.91M,-1.05%,11892,5.52M
211,PAVS,Paranovus Entertainment Technology Ltd.,14.01M,0.53%,110,51.46M
212,NCRA,"Nocera, Inc.",13.85M,-0.68%,1252,24.07M
213,GSUN,Golden Sun Education Group Limited,12.81M,-3.13%,10208,6.16M
214,PETZ,"TDH Holdings, Inc.",12.18M,-,20869,3.20M
215,EEIQ,EpicQuest Education Group International Limited,12.07M,4.81%,11471,5.71M
216,TKLF,"Yoshitsu Co., Ltd",11.21M,2.66%,96024,166.27M
217,VINE,"Fresh Vine Wine, Inc.",11.18M,2.86%,3260,1.83M
218,GV,Visionary Education Technology Holdings Group Inc.,9.45M,0.39%,20341,8.43M
219,BOF,BranchOut Food Inc.,9.06M,12.11%,4559,1.37M
220,WAFU,Wah Fu Education Group Limited,8.51M,-1.04%,3588,10.69M
221,AQB,"AquaBounty Technologies, Inc.",8.42M,-3.08%,36497,2.37M
222,BTCT,BTC Digital Ltd.,8.06M,-1.11%,17250,-20.57M
223,LSF,"Laird Superfood, Inc.",7.95M,-8.24%,11828,33.99M
224,LQR,LQR House Inc.,7.95M,3.33%,43838,880.44K
225,JVA,"Coffee Holding Co., Inc.",7.54M,1.54%,4927,68.17M
226,XXII,"22nd Century Group, Inc.",6.17M,-2.34%,414855,82.41M
227,KAVL,"Kaival Brands Innovations Group, Inc.",6.12M,2.38%,264,13.09M
228,FAMI,"Farmmi, Inc.",6.07M,0.99%,29033,110.36M
229,BON,Bon Natural Life Limited,5.85M,2.38%,96651,29.52M
230,BTTR,Better Choice Company Inc.,5.47M,-13.92%,464070,42.16M
231,BRSH,Bruush Oral Care Inc.,4.90M,5.15%,2710840,-
232,AMBO,Ambow Education Holding Ltd.,4.82M,7.06%,7546,14.68M
233,CLEU,China Liberal Education Holdings Limited,4.03M,-0.82%,57107,17.89M
234,SNAX,"Stryve Foods, Inc.",3.53M,2.40%,7553,20.23M
235,TANH,Tantech Holdings Ltd,2.35M,0.89%,57701,46.21M
236,EDBL,Edible Garden AG Incorporated,2.14M,-1.56%,64451,13.04M
237,BSFC,Blue Star Foods Corp.,1.97M,-11.82%,1283389,7.17M
238,GNLN,"Greenlane Holdings, Inc.",1.77M,-3.80%,3919,77.34M
239,NUZE,"NuZee, Inc.",1.76M,-1.76%,2341,3.35M
240,EAST,"Eastside Distilling, Inc.",1.66M,5.71%,53325,10.81M
241,AGRI,AgriFORCE Growing Systems Ltd.,837.78K,2.63%,217030,-
