,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
206,CLVT,Clarivate Plc,4.72B,-,316334,2.63B
207,WK,Workiva Inc.,4.68B,-0.64%,61372,630.04M
208,SLAB,Silicon Laboratories Inc.,4.67B,-0.37%,29467,782.26M
209,CWAN,"Clearwater Analytics Holdings, Inc.",4.62B,-0.83%,207684,368.17M
210,VERX,"Vertex, Inc.",4.55B,-0.92%,36094,572.39M
211,FROG,JFrog Ltd.,4.51B,-0.60%,148023,349.89M
212,CNXC,Concentrix Corporation,4.36B,1.06%,45331,7.11B
213,ITRI,"Itron, Inc.",4.33B,-0.43%,79983,2.17B
214,SEDG,"SolarEdge Technologies, Inc.",4.33B,-0.15%,320112,2.98B
215,CVLT,"Commvault Systems, Inc.",4.31B,-1.64%,50301,819.43M
216,SQSP,"Squarespace, Inc.",4.30B,0.16%,69774,1.01B
217,FIVN,"Five9, Inc.",4.28B,2.58%,206713,910.49M
218,BOX,"Box, Inc.",4.25B,-0.44%,517630,1.03B
219,SYNA,Synaptics Incorporated,4.23B,0.24%,39273,1.03B
220,ASAN,"Asana, Inc.",4.22B,0.34%,789045,631.60M
221,AVT,"Avnet, Inc.",4.21B,0.17%,90057,25.61B
222,POWI,"Power Integrations, Inc.",4.21B,0.82%,44318,444.54M
223,PAGS,PagSeguro Digital Ltd.,4.20B,0.69%,234953,3.27B
224,IPGP,IPG Photonics Corporation,4.16B,-0.06%,28139,1.29B
225,BL,"BlackLine, Inc.",4.12B,0.07%,161698,590.00M
226,CLSK,"CleanSpark, Inc.",4.01B,-4.32%,17248211,214.38M
227,RELY,"Remitly Global, Inc.",3.95B,-1.48%,205435,944.29M
228,BLKB,"Blackbaud, Inc.",3.91B,0.67%,28314,1.11B
229,AI,"C3.ai, Inc.",3.87B,0.28%,2072720,296.40M
230,DXC,DXC Technology Company,3.81B,0.36%,261046,13.87B
231,ALRM,"Alarm.com Holdings, Inc.",3.74B,-0.83%,20965,881.68M
232,SATS,EchoStar Corporation,3.74B,6.97%,348323,17.02B
233,CXM,"Sprinklr, Inc.",3.71B,-0.70%,180692,703.48M
234,TDC,Teradata Corporation,3.71B,0.47%,119238,1.83B
235,BDC,Belden Inc.,3.68B,-1.59%,32041,2.51B
236,TSEM,Tower Semiconductor Ltd.,3.66B,-1.45%,84689,1.42B
237,ACLS,"Axcelis Technologies, Inc.",3.65B,0.67%,171026,1.13B
238,CRDO,Credo Technology Group Holding Ltd,3.63B,-3.65%,357365,164.28M
239,SANM,Sanmina Corporation,3.62B,-1.10%,40383,8.45B
240,DOCN,"DigitalOcean Holdings, Inc.",3.57B,1.30%,151469,692.88M
241,WOLF,"Wolfspeed, Inc.",3.52B,2.22%,730600,870.30M
242,PYCR,"Paycor HCM, Inc.",3.49B,-0.03%,85302,604.65M
243,AYX,"Alteryx, Inc.",3.48B,0.13%,728932,970.00M
244,CAMT,Camtek Ltd.,3.47B,-4.60%,385684,315.38M
245,FORM,"FormFactor, Inc.",3.44B,-0.47%,119022,663.10M
246,PWSC,"PowerSchool Holdings, Inc.",3.44B,-1.78%,36130,697.65M
247,ACIW,"ACI Worldwide, Inc.",3.41B,-0.16%,38255,1.45B
248,AUR,"Aurora Innovation, Inc.",3.38B,-2.95%,2133989,-
249,RPD,"Rapid7, Inc.",3.34B,-1.17%,114278,777.71M
250,RNG,"RingCentral, Inc.",3.32B,2.00%,174594,2.20B
251,NCNO,"nCino, Inc.",3.32B,1.25%,83735,462.03M
252,FLYW,Flywire Corporation,3.31B,-1.63%,135246,403.09M
253,SPT,"Sprout Social, Inc.",3.30B,-1.74%,41374,333.64M
254,NVEI,Nuvei Corporation,3.26B,-0.04%,60732,1.19B
255,DIOD,Diodes Incorporated,3.23B,1.72%,30126,1.66B
256,LITE,Lumentum Holdings Inc.,3.21B,-0.84%,167860,1.44B
257,LPL,"LG Display Co., Ltd.",3.21B,0.87%,63176,16.47B
258,VSH,"Vishay Intertechnology, Inc.",3.19B,-0.73%,85453,3.40B
259,PI,"Impinj, Inc.",3.15B,-1.49%,51594,307.54M
260,RIOT,"Riot Blockchain, Inc.",3.13B,0.24%,10806082,280.68M
261,MQ,"Marqeta, Inc.",3.12B,2.14%,1497618,676.17M
262,INST,"Instructure Holdings, Inc.",3.08B,-0.24%,28890,530.21M
263,YOU,"Clear Secure, Inc.",3.07B,0.78%,115310,613.58M
264,SRAD,Sportradar Group AG,2.98B,0.40%,26406,884.39M
265,ENV,"Envestnet, Inc.",2.97B,0.72%,61258,1.25B
266,QTWO,"Q2 Holdings, Inc.",2.89B,-0.04%,104458,624.62M
267,KLIC,"Kulicke and Soffa Industries, Inc.",2.85B,-0.91%,40958,737.45M
268,RUN,Sunrun Inc.,2.76B,0.24%,2986227,2.26B
269,WNS,WNS (Holdings) Limited,2.75B,-1.78%,15249,1.30B
270,APPN,Appian Corporation,2.69B,-0.31%,59237,545.36M
271,AVDX,"AvidXchange Holdings, Inc.",2.66B,0.27%,217465,380.72M
272,PLXS,Plexus Corp.,2.63B,-1.16%,7189,4.10B
273,INTA,"Intapp, Inc.",2.60B,-0.97%,192945,392.15M
274,ESE,ESCO Technologies Inc.,2.59B,-0.51%,8300,968.85M
275,TIXT,TELUS International (Cda) Inc.,2.51B,-0.18%,11972,2.71B
276,EVTC,"EVERTEC, Inc.",2.46B,-1.04%,40647,694.71M
277,NABL,"N-able, Inc.",2.44B,-0.42%,46107,421.88M
278,ODD,Oddity Tech Ltd.,2.41B,0.18%,233438,508.69M
279,SIMO,Silicon Motion Technology Corporation,2.40B,0.20%,33184,945.92M
280,PAY,"Paymentus Holdings, Inc.",2.38B,5.67%,241413,614.49M
281,VIAV,Viavi Solutions Inc.,2.37B,0.52%,309516,1.01B
282,PRGS,Progress Software Corporation,2.36B,-0.27%,29394,694.44M
283,SONO,"Sonos, Inc.",2.36B,0.47%,312057,1.60B
284,VSAT,"Viasat, Inc.",2.36B,3.35%,141131,3.80B
285,CALX,"Calix, Inc.",2.34B,0.25%,97797,1.04B
286,RAMP,"LiveRamp Holdings, Inc.",2.31B,-0.57%,44890,636.44M
287,ALKT,"Alkami Technology, Inc.",2.30B,-0.42%,68998,264.83M
288,PD,"PagerDuty, Inc.",2.27B,-1.09%,107987,420.55M
289,CLBT,Cellebrite DI Ltd.,2.26B,-1.18%,242484,325.11M
290,AMBA,"Ambarella, Inc.",2.26B,0.48%,92614,258.18M
291,OSIS,"OSI Systems, Inc.",2.26B,-0.96%,40819,1.37B
292,JAMF,Jamf Holding Corp.,2.26B,-0.62%,40215,560.57M
293,IONQ,"IonQ, Inc.",2.25B,-4.53%,4774301,22.04M
294,ZETA,Zeta Global Holdings Corp.,2.23B,0.54%,161313,728.72M
295,PRFT,"Perficient, Inc.",2.22B,-0.17%,16245,906.54M
296,SHLS,"Shoals Technologies Group, Inc.",2.22B,1.19%,674719,488.94M
297,SITM,SiTime Corporation,2.20B,-0.34%,28816,143.99M
298,VYX,NCR Voyix Corporation,2.20B,0.74%,366797,7.90B
299,VZIO,VIZIO Holding Corp.,2.18B,1.18%,1456319,1.68B
300,DAVA,Endava plc,2.17B,-1.68%,127535,968.73M
301,PLUS,ePlus inc.,2.16B,0.35%,22323,2.16B
302,ROG,Rogers Corporation,2.16B,0.84%,33833,908.40M
303,AGYS,"Agilysys, Inc.",2.09B,-0.92%,7584,228.14M
304,LSPD,Lightspeed Commerce Inc.,2.09B,-1.29%,197695,863.28M
305,XRX,Xerox Holdings Corporation,2.07B,1.41%,314044,6.89B
306,UCTT,"Ultra Clean Holdings, Inc.",2.07B,-0.54%,68037,1.73B
307,SWI,SolarWinds Corporation,2.04B,-1.35%,40811,758.74M
308,VECO,Veeco Instruments Inc.,2.02B,-2.79%,73782,666.44M
309,VRNT,Verint Systems Inc.,1.95B,0.36%,47889,881.53M
310,ARRY,"Array Technologies, Inc.",1.94B,0.82%,1241296,1.58B
311,BMBL,Bumble Inc.,1.93B,1.33%,547956,1.05B
312,RUM,Rumble Inc.,1.89B,-1.11%,309709,80.53M
313,FSLY,"Fastly, Inc.",1.87B,0.97%,1048872,505.99M
314,DQ,Daqo New Energy Corp.,1.84B,2.85%,1142695,2.31B
315,ACMR,"ACM Research, Inc.",1.84B,-6.80%,711121,557.72M
316,UPBD,"Upbound Group, Inc.",1.83B,-2.50%,35296,3.99B
317,PLAB,"Photronics, Inc.",1.83B,-1.46%,102523,897.32M
318,COMP,"Compass, Inc.",1.81B,-1.47%,887394,4.89B
319,SOUN,"SoundHound AI, Inc.",1.81B,0.51%,15146119,45.87M
320,EVCM,EverCommerce Inc.,1.80B,0.42%,11747,667.73M
321,CNXN,"PC Connection, Inc.",1.73B,-1.86%,8403,2.85B
322,MXL,"MaxLinear, Inc.",1.72B,-0.55%,108292,693.26M
323,PAYO,Payoneer Global Inc.,1.70B,-0.43%,515107,831.10M
324,VTEX,VTEX,1.69B,-0.27%,145067,201.52M
325,SPNS,Sapiens International Corporation N.V.,1.68B,-0.07%,11465,514.58M
326,PRO,"PROS Holdings, Inc.",1.68B,-1.61%,38446,303.71M
327,SEMR,"Semrush Holdings, Inc.",1.65B,-1.40%,117357,307.68M
328,VICR,Vicor Corporation,1.64B,-0.23%,51811,405.06M
329,GRND,Grindr Inc.,1.64B,1.60%,188776,242.13M
330,BB,BlackBerry Limited,1.62B,4.17%,3923835,831.00M
331,NATL,NCR Atleos Corporation,1.60B,-0.03%,71031,-
332,DCBO,Docebo Inc.,1.58B,-0.86%,10823,180.84M
333,CSGS,"CSG Systems International, Inc.",1.56B,-0.02%,17225,1.17B
334,NTCT,"NetScout Systems, Inc.",1.55B,6.78%,325097,834.11M
335,TTMI,"TTM Technologies, Inc.",1.53B,-1.46%,47105,2.23B
336,EXTR,"Extreme Networks, Inc.",1.53B,0.68%,566179,1.35B
337,COHU,"Cohu, Inc.",1.50B,-1.41%,21482,636.32M
338,SMTC,Semtech Corporation,1.50B,-1.84%,123605,843.32M
339,STER,Sterling Check Corp.,1.49B,0.06%,144741,719.64M
340,KN,Knowles Corporation,1.48B,-0.24%,50371,707.60M
341,HLIT,Harmonic Inc.,1.46B,0.19%,144804,607.91M
342,AVPT,"AvePoint, Inc.",1.45B,-0.57%,93611,271.83M
343,EVBG,"Everbridge, Inc.",1.45B,-0.14%,391601,448.79M
344,JKS,"JinkoSolar Holding Co., Ltd.",1.44B,4.15%,343618,15.94B
345,GCT,GigaCloud Technology Inc.,1.40B,-6.57%,898155,584.70M
346,MLNK,"MeridianLink, Inc.",1.40B,-1.69%,46587,299.59M
347,CTS,CTS Corporation,1.37B,-0.25%,7273,550.42M
348,BASE,"Couchbase, Inc.",1.36B,-3.62%,98489,171.57M
349,AMPL,"Amplitude, Inc.",1.34B,0.22%,84679,276.28M
350,CSIQ,Canadian Solar Inc.,1.33B,2.84%,248104,7.88B
351,PDFS,"PDF Solutions, Inc.",1.33B,-1.77%,8724,165.84M
352,ETWO,"E2open Parent Holdings, Inc.",1.32B,-0.81%,86743,642.37M
353,ZUO,"Zuora, Inc.",1.32B,-0.65%,160812,424.03M
354,CRSR,"Corsair Gaming, Inc.",1.28B,1.77%,37784,1.46B
355,DBD,"Diebold Nixdorf, Incorporated",1.28B,-1.83%,11395,3.49B
356,ICHR,"Ichor Holdings, Ltd.",1.28B,-2.01%,21039,811.12M
357,ADEA,Adeia Inc.,1.23B,-1.63%,45330,388.79M
358,SGH,"SMART Global Holdings, Inc.",1.22B,-1.93%,75012,1.25B
359,GDS,GDS Holdings Limited,1.22B,19.42%,2913436,9.80B
360,PAR,PAR Technology Corporation,1.22B,-1.94%,120431,415.82M
361,FORTY,Formula Systems (1985) Ltd.,1.19B,-,108,2.64B
362,PGY,Pagaya Technologies Ltd.,1.14B,-,646274,812.05M
363,TASK,"TaskUs, Inc.",1.12B,-1.39%,56392,924.37M
364,INDI,"indie Semiconductor, Inc.",1.12B,0.66%,444008,223.17M
365,BHE,"Benchmark Electronics, Inc.",1.11B,-2.99%,57238,2.84B
366,SCSC,"ScanSource, Inc.",1.10B,-1.70%,24706,3.59B
367,IMOS,ChipMOS TECHNOLOGIES INC.,1.09B,0.15%,7887,766.03M
368,DGII,Digi International Inc.,1.08B,-0.03%,8154,441.63M
