,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
171,RDCM,RADCOM Ltd.,178.76M,-4.21%,51218,51.60M
172,TSQ,"Townsquare Media, Inc.",176.92M,-0.74%,15937,459.72M
173,TRVG,trivago N.V.,175.59M,1.59%,22609,538.92M
174,LVO,"LiveOne, Inc.",165.18M,2.94%,110727,113.09M
175,CXDO,"Crexendo, Inc.",157.44M,-5.01%,120860,53.20M
176,EVC,Entravision Communications Corporation,152.16M,-0.67%,649334,1.08B
177,SKLZ,Skillz Inc.,151.21M,2.27%,41520,163.66M
178,SGA,"Saga Communications, Inc.",150.03M,-1.90%,6092,113.75M
179,TZOO,Travelzoo,134.69M,1.97%,145867,81.94M
180,BRAG,Bragg Gaming Group Inc.,120.80M,2.91%,1731,99.83M
181,FNGR,"FingerMotion, Inc.",116.65M,2.25%,16977,40.40M
182,UONE,"Urban One, Inc.",116.29M,-0.20%,16129,489.39M
183,HRYU,"Hanryu Holdings, Inc.",114.06M,0.65%,83475,1.37M
184,GMGI,"Golden Matrix Group, Inc.",105.45M,0.69%,3184,44.17M
185,XNET,Xunlei Limited,97.32M,6.08%,58065,383.51M
186,WIMI,WiMi Hologram Cloud Inc.,95.38M,7.27%,447246,70.82M
187,KUKE,Kuke Music Holding Limited,87.45M,-8.56%,42941,-
188,SCOR,"comScore, Inc.",81.36M,-4.73%,17762,374.48M
189,CMCM,Cheetah Mobile Inc.,78.47M,-0.38%,9883,126.84M
190,GAIA,"Gaia, Inc.",74.45M,1.01%,480,79.29M
191,MNY,MoneyHero Limited,69.94M,-7.99%,95963,123.27M
192,INUV,"Inuvo, Inc.",68.20M,-3.16%,126802,73.91M
193,LEE,"Lee Enterprises, Incorporated",67.64M,-0.45%,12141,661.68M
194,BHAT,Blue Hat Interactive Entertainment Technology,65.41M,-4.46%,571631,51.69M
195,RDI,"Reading International, Inc.",64.66M,-,411,224.63M
196,CMLS,Cumulus Media Inc.,62.53M,-2.40%,3382,844.55M
197,KORE,"KORE Group Holdings, Inc.",60.31M,0.76%,17290,266.66M
198,MCHX,"Marchex, Inc.",60.21M,-1.44%,23661,49.81M
199,MATH,Metalpha Technology Holding Limited,59.12M,13.12%,12707,5.69M
200,UCL,uCloudlink Group Inc.,55.84M,5.27%,1471,27.28M
201,STCN,"Steel Connect, Inc.",55.78M,1.69%,12771,179.07M
202,BODI,Beachbody Company Inc,55.60M,1.71%,150,556.27M
203,ZDGE,"Zedge, Inc.",55.55M,-4.13%,17003,27.42M
204,BZFD,"BuzzFeed, Inc.",54.68M,1.05%,341820,352.98M
205,HHS,"Harte Hanks, Inc.",54.56M,-0.93%,3795,196.78M
206,AREN,"The Arena Group Holdings, Inc.",51.88M,6.25%,1317,214.52M
207,FLNT,"Fluent, Inc.",49.77M,-4.15%,35861,310.30M
208,LPTV,"Loop Media, Inc.",45.25M,-7.22%,14396,26.99M
209,TOON,Kartoon Studios Inc.,43.27M,0.35%,81538,54.35M
210,ABLV,Able View Inc.,42.85M,-2.62%,102,226.92M
211,SJ,Scienjoy Holding Corporation,39.40M,6.25%,163537,216.01M
212,ICLK,iClick Interactive Asia Group Limited,38.63M,-2.54%,4955,150.76M
213,PODC,PodcastOne Inc,38.05M,3.10%,4976,-
214,SNAL,"Snail, Inc.",37.38M,0.20%,2898,47.64M
215,AGAE,Allied Gaming & Entertainment Inc.,34.63M,2.14%,24147,6.80M
216,IZEA,"IZEA Worldwide, Inc.",30.29M,-0.98%,90662,36.12M
217,MMV,MultiMetaVerse Holdings Limited,28.09M,-1.98%,9179,9.79M
218,ANGH,Anghami Inc.,26.53M,-0.18%,3977,46.25M
219,CURI,CuriosityStream Inc.,26.27M,3.60%,18150,56.61M
220,STBX,Starbox Group Holdings Ltd.,25.77M,3.85%,10371,11.74M
221,NCTY,The9 Limited,25.44M,-0.93%,20019,-
222,BBGI,"Beasley Broadcast Group, Inc.",24.94M,0.34%,8692,247.11M
223,DLPN,"Dolphin Entertainment, Inc.",24.13M,2.22%,8571,42.24M
224,GAME,GameSquare Holdings Inc,23.90M,6.94%,148494,-
225,HOFV,Hall of Fame Resort & Entertainment Company,23.42M,-0.55%,1549,20.52M
226,FENG,Phoenix New Media Limited,21.63M,6.74%,8416,96.85M
227,DALN,DallasNews Corporation,20.61M,2.60%,3375,139.70M
228,TRUG,Trugolf Inc,19.10M,0.69%,7528,13.79M
229,BREA,Brera Holdings PLC,18.64M,7.24%,461856,120.79K
230,SOGP,Sound Group Inc,18.50M,2.57%,110433,307.65M
231,CNVS,Cineverse Corp.,17.86M,-,10243,51.82M
232,CHR,"Cheer Holding, Inc.",17.70M,-1.54%,2428,154.58M
233,EDUC,Educational Development Corporation,15.01M,2.23%,2384,57.04M
234,GIGM,GigaMedia Limited,14.15M,-0.78%,2543,4.52M
235,FAZE,FaZe Holdings Inc.,14.12M,-,411115,58.15M
236,KRKR,36Kr Holdings Inc.,14.06M,-0.17%,33992,45.86M
237,MDIA,MediaCo Holding Inc.,12.94M,-,94,24.95M
238,UPXI,"Upexi, Inc.",11.99M,-1.53%,40092,91.21M
239,LKCO,Luokung Technology Corp.,11.74M,21.64%,95326,36.98M
240,GDC,GD Culture Group Limited,10.95M,-4.92%,21839,435.48K
241,MIMO,Airspan Networks Holdings Inc.,9.74M,-0.38%,79046,112.81M
242,VSME,VS Media Holdings Limited,9.42M,6.51%,30394,9.03M
243,LDWY,"Lendway, Inc.",8.29M,3.25%,6010,23.57M
244,SLE,"Super League Enterprise, Inc.",8.27M,-1.67%,5632,22.69M
245,ASST,Asset Entities Inc.,8.13M,-0.87%,43678,259.15K
246,LCFY,Locafy Limited,7.66M,-,455,-
247,CPOP,"Pop Culture Group Co., Ltd",7.44M,-0.66%,24056,18.54M
248,CNET,ZW Data Action Technologies Inc.,6.56M,-3.08%,1156,29.74M
249,GXAI,Gaxos.ai Inc.,6.33M,-3.13%,79406,-
250,MSGM,Motorsport Games Inc.,6.02M,0.45%,687,8.93M
251,ANTE,AirNet Technology Inc.,5.85M,6.92%,28559,918.00K
252,MGOL,MGO Global Inc.,5.70M,4.33%,128887,4.47M
253,CSSE,"Chicken Soup for the Soul Entertainment, Inc.",5.64M,4.00%,104755,368.81M
254,BAOS,Baosheng Media Group Holdings Limited,5.39M,2.56%,1671,3.46M
255,ADD,"Color Star Technology Co., Ltd.",5.09M,-1.99%,19631,-
256,MGAM,Mobile Global Esports Inc.,4.47M,4.22%,30082,-
257,TC,TuanChe Limited,3.00M,3.24%,3312,25.71M
258,ONFO,"Onfolio Holdings, Inc.",2.45M,-6.83%,12907,5.10M
259,GROM,"Grom Social Enterprises, Inc.",2.11M,14.02%,491190,4.70M
