,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
177,TXO,TXO Partners L.P.,568.26M,-1.16%,15552,380.72M
178,REPX,"Riley Exploration Permian, Inc.",565.08M,-2.20%,10977,375.05M
179,PBT,Permian Basin Royalty Trust,550.92M,-1.95%,25620,29.10M
180,OBE,Obsidian Energy Ltd.,545.81M,-,141601,514.59M
181,BRY,Berry Corporation,535.86M,1.64%,193402,903.46M
182,GPRK,GeoPark Limited,517.97M,0.33%,122715,787.86M
183,TTI,"TETRA Technologies, Inc.",517.75M,-1.39%,372221,626.26M
184,SD,"SandRidge Energy, Inc.",514.22M,-5.12%,142528,148.64M
185,EGY,"VAALCO Energy, Inc.",451.13M,0.58%,78769,402.50M
186,URG,Ur-Energy Inc.,442.15M,-2.87%,1156807,17.68M
187,OSG,"Overseas Shipholding Group, Inc.",427.10M,-1.83%,111618,457.61M
188,SGU,"Star Group, L.P.",390.96M,-0.50%,2887,1.83B
189,WTI,"W&T Offshore, Inc.",378.89M,-0.58%,897173,532.66M
190,SOI,"Solaris Oilfield Infrastructure, Inc.",357.85M,-0.84%,66905,292.95M
191,OIS,"Oil States International, Inc.",356.06M,-1.96%,326361,782.28M
192,BOOM,DMC Global Inc.,338.94M,-0.82%,42800,719.19M
193,CCLP,CSI Compressco LP,312.07M,-2.28%,45845,386.13M
194,REI,"Ring Energy, Inc.",308.78M,-,969975,361.06M
195,UROY,Uranium Royalty Corp.,308.40M,-,491559,21.29M
196,HNRG,Hallador Energy Company,292.64M,-4.47%,80732,667.37M
197,BROG,Brooge Energy Limited,264.11M,0.41%,290,-
198,RNGR,"Ranger Energy Services, Inc.",253.14M,-1.07%,13724,636.60M
199,SJT,San Juan Basin Royalty Trust,251.22M,2.41%,117541,78.31M
200,FET,"Forum Energy Technologies, Inc.",232.78M,0.34%,1268,738.86M
201,NC,"NACCO Industries, Inc.",221.12M,1.25%,1758,214.79M
202,NGS,"Natural Gas Services Group, Inc.",216.78M,-2.50%,12711,108.77M
203,SMLP,"Summit Midstream Partners, LP",216.66M,-0.52%,4844,417.31M
