,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
301,WWW,"Wolverine World Wide, Inc.",797.46M,-3.50%,111605,2.24B
302,EVRI,Everi Holdings Inc.,796.73M,-0.89%,86339,807.82M
303,AXL,"American Axle & Manufacturing Holdings, Inc.",783.20M,-2.32%,437444,6.08B
304,MYE,"Myers Industries, Inc.",781.97M,-0.80%,36024,813.07M
305,ARKO,Arko Corp.,769.06M,-0.16%,37455,9.41B
306,DIN,"Dine Brands Global, Inc.",768.14M,-2.15%,48684,831.07M
307,HSAI,Hesai Group,723.08M,-2.60%,1463850,237.28M
308,WOOF,"Petco Health and Wellness Company, Inc.",714.18M,-,907850,6.16B
309,JMIA,Jumia Technologies AG,712.36M,-1.34%,1426395,207.11M
310,BWMX,"Betterware de México, S.A.P.I. de C.V.",686.62M,-1.14%,14610,737.67M
311,HZO,"MarineMax, Inc.",672.33M,2.85%,71177,2.41B
312,ECX,"ECARX Holdings, Inc.",671.42M,-0.25%,7303,4.67B
313,SMP,"Standard Motor Products, Inc.",667.42M,0.25%,12580,1.36B
314,FLWS,"1-800-FLOWERS.COM, Inc.",659.16M,0.15%,18759,1.91B
315,XPOF,"Xponential Fitness, Inc.",653.92M,0.33%,27989,318.66M
316,DESP,"Despegar.com, Corp.",630.18M,-1.36%,55607,647.92M
317,LEGH,Legacy Housing Corporation,619.06M,-1.89%,8755,230.98M
318,MOV,"Movado Group, Inc.",609.63M,-2.64%,61200,687.25M
319,DADA,Dada Nexus Limited,605.25M,6.71%,614078,1.50B
320,SDA,SunCar Technology Group Inc.,593.83M,2.37%,68988,317.06M
321,CHUY,"Chuy's Holdings, Inc.",591.72M,-1.91%,11184,461.31M
322,SES,SES AI Corporation,589.24M,-6.93%,170413,-
323,KRT,Karat Packaging Inc.,584.16M,-0.51%,4118,402.74M
324,PLOW,"Douglas Dynamics, Inc.",583.33M,-1.65%,16780,568.18M
325,BH,Biglari Holdings Inc.,572.02M,-2.51%,802,365.32M
326,DBI,Designer Brands Inc.,570.28M,0.60%,118989,3.08B
327,QRTEA,"Qurate Retail, Inc.",562.71M,0.74%,359920,10.92B
328,MLR,"Miller Industries, Inc.",551.45M,-0.46%,9482,1.15B
329,LQDT,"Liquidity Services, Inc.",545.88M,-0.14%,5712,313.51M
330,QRTEB,"Qurate Retail, Inc.",543.65M,5.75%,674,10.92B
331,HVT,"Haverty Furniture Companies, Inc.",540.75M,-2.68%,10576,862.13M
332,HVT.A,"Haverty Furniture Companies, Inc.",536.14M,-4.08%,102,862.13M
333,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,528.12M,-1.23%,60153,907.59M
334,RICK,"RCI Hospitality Holdings, Inc.",523.11M,-1.32%,3416,297.73M
335,TAST,"Carrols Restaurant Group, Inc.",516.08M,0.18%,405119,1.88B
336,CURV,Torrid Holdings Inc.,506.98M,-3.90%,2067,1.19B
337,DENN,Denny's Corporation,487.00M,-1.61%,45753,463.92M
338,BALY,Bally's Corporation,484.51M,25.24%,1425550,2.41B
339,HLLY,Holley Inc.,482.33M,-0.99%,53985,658.16M
340,SRI,"Stoneridge, Inc.",464.28M,-0.59%,7806,975.82M
341,LIND,"Lindblad Expeditions Holdings, Inc.",452.55M,-2.60%,38066,569.54M
342,JOUT,Johnson Outdoors Inc.,451.45M,0.25%,4259,624.15M
343,MED,"Medifast, Inc.",432.12M,-2.72%,47746,1.07B
344,CRMT,"America's Car-Mart, Inc.",425.01M,-6.29%,47426,1.44B
345,HNST,"The Honest Company, Inc.",423.74M,5.09%,1090935,344.37M
346,CSV,"Carriage Services, Inc.",392.16M,-0.52%,7702,382.52M
347,NEGG,"Newegg Commerce, Inc.",387.73M,1.96%,218478,-
348,REAL,"The RealReal, Inc.",383.17M,-4.23%,1945359,549.30M
349,ONEW,OneWater Marine Inc.,383.04M,-1.23%,11850,1.93B
350,SNBR,Sleep Number Corporation,377.84M,-2.24%,68376,1.89B
351,PBPB,Potbelly Corporation,377.33M,-6.26%,112191,491.41M
352,PACK,Ranpak Holdings Corp.,376.68M,1.32%,82261,325.30M
353,MPX,Marine Products Corporation,366.95M,0.99%,4365,383.73M
354,FNKO,"Funko, Inc.",364.06M,-4.52%,86997,1.10B
355,MCFT,"MasterCraft Boat Holdings, Inc.",361.12M,-0.80%,22215,537.04M
356,AGS,"PlayAGS, Inc.",352.61M,-0.39%,22959,356.54M
357,GGR,Gogoro Inc.,347.04M,-4.23%,231441,349.85M
358,BBW,"Build-A-Bear Workshop, Inc.",345.77M,-0.33%,20517,481.95M
359,AEVA,"Aeva Technologies, Inc.",345.69M,1.89%,494161,2.89M
