,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
206,ATS,ATS Corporation,3.70B,-0.99%,26166,2.20B
207,CAAP,Corporación América Airports S.A.,3.68B,-2.54%,34891,1.65B
208,OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3.68B,-0.90%,3778,612.67M
209,MATX,"Matson, Inc.",3.66B,1.22%,42443,3.09B
210,CSWI,"CSW Industrials, Inc.",3.63B,-1.49%,9970,777.67M
211,MAN,ManpowerGroup Inc.,3.63B,-0.56%,43592,18.91B
212,GMS,GMS Inc.,3.60B,-1.96%,61874,5.39B
213,WIRE,Encore Wire Corporation,3.52B,-2.09%,22826,2.57B
214,HI,"Hillenbrand, Inc.",3.47B,-1.25%,28725,2.94B
215,STRL,"Sterling Infrastructure, Inc.",3.44B,-2.96%,91798,1.97B
216,KFY,Korn Ferry,3.43B,-1.36%,60435,2.83B
217,GFF,Griffon Corporation,3.42B,-3.16%,55278,2.68B
218,CXT,"Crane NXT, Co.",3.39B,-1.38%,79646,1.39B
219,ENOV,Enovis Corporation,3.39B,-0.59%,33892,1.71B
220,NPO,"EnPro Industries, Inc.",3.37B,-2.39%,22651,1.06B
221,CRS,Carpenter Technology Corporation,3.36B,-1.71%,44250,2.72B
222,JBT,John Bean Technologies Corporation,3.31B,-0.26%,59081,1.66B
223,REZI,"Resideo Technologies, Inc.",3.24B,-0.04%,60378,6.24B
224,ARCB,ArcBest Corporation,3.22B,-1.78%,53416,4.43B
225,UNF,UniFirst Corporation,3.17B,-0.36%,2478,2.28B
226,WOR,"Worthington Industries, Inc.",3.16B,-3.37%,41441,4.61B
227,SEB,Seaboard Corporation,3.12B,-0.84%,154,9.56B
228,HAYW,"Hayward Holdings, Inc.",3.06B,-2.13%,89522,992.45M
229,MGRC,McGrath RentCorp,2.99B,-1.09%,36524,831.84M
230,ICFI,"ICF International, Inc.",2.90B,-1.36%,7206,1.96B
231,DOOR,Masonite International Corporation,2.86B,0.21%,116505,2.83B
232,GOGL,Golden Ocean Group Limited,2.78B,-3.09%,555394,885.77M
233,BRC,Brady Corporation,2.77B,-0.67%,29793,1.34B
234,KTOS,"Kratos Defense & Security Solutions, Inc.",2.76B,-0.41%,113662,1.04B
235,PLUG,Plug Power Inc.,2.75B,-3.48%,11435045,891.34M
236,ROAD,"Construction Partners, Inc.",2.73B,-1.63%,69370,1.62B
237,SKYW,"SkyWest, Inc.",2.72B,-2.20%,64815,2.94B
238,MYRG,MYR Group Inc.,2.71B,-3.04%,4552,3.64B
239,HUBG,"Hub Group, Inc.",2.67B,-1.03%,24957,4.20B
240,ABM,ABM Industries Incorporated,2.65B,-0.26%,45668,8.17B
241,LZ,"LegalZoom.com, Inc.",2.51B,1.20%,188606,660.73M
242,MWA,"Mueller Water Products, Inc.",2.46B,-0.67%,77282,1.22B
243,WERN,"Werner Enterprises, Inc.",2.45B,0.88%,59566,3.28B
244,RXO,"RXO, Inc.",2.45B,2.25%,49854,3.93B
245,JBLU,JetBlue Airways Corporation,2.44B,-0.49%,1616590,9.62B
246,ALG,Alamo Group Inc.,2.43B,-2.31%,23729,1.69B
247,HTZ,"Hertz Global Holdings, Inc.",2.40B,0.45%,1212497,9.37B
248,PGTI,"PGT Innovations, Inc.",2.40B,-0.01%,169519,1.50B
249,GVA,Granite Construction Incorporated,2.35B,-0.28%,33039,3.51B
250,ROCK,"Gibraltar Industries, Inc.",2.33B,-2.10%,16201,1.38B
251,FA,First Advantage Corporation,2.32B,-0.22%,56391,763.76M
252,BE,Bloom Energy Corporation,2.32B,2.42%,1074174,1.33B
253,IESC,"IES Holdings, Inc.",2.30B,-6.81%,110322,2.44B
254,AIR,AAR Corp.,2.29B,-1.66%,23745,2.17B
255,MIR,"Mirion Technologies, Inc.",2.28B,-2.48%,188721,800.90M
256,PRIM,Primoris Services Corporation,2.20B,-2.21%,52273,5.72B
257,RKLB,"Rocket Lab USA, Inc.",2.16B,5.77%,2880221,244.59M
258,TRN,"Trinity Industries, Inc.",2.15B,-0.34%,81538,2.98B
259,JBI,"Janus International Group, Inc.",2.14B,-0.65%,124526,1.07B
260,HEES,"H&E Equipment Services, Inc.",2.13B,-4.04%,34519,1.47B
261,SBLK,Star Bulk Carriers Corp.,2.09B,-1.41%,394241,-
262,TGH,Textainer Group Holdings Limited,2.07B,0.06%,164789,789.86M
263,ENR,"Energizer Holdings, Inc.",2.06B,-0.10%,52251,2.91B
264,TNC,Tennant Company,2.06B,-1.02%,17182,1.24B
265,SXI,Standex International Corporation,2.05B,-1.09%,3839,735.83M
266,HNI,HNI Corporation,2.03B,-2.50%,26065,2.43B
267,KMT,Kennametal Inc.,2.02B,-1.74%,39256,2.07B
268,ATMU,Atmus Filtration Technologies Inc.,1.99B,3.27%,1819801,1.63B
269,B,Barnes Group Inc.,1.91B,-0.94%,24288,1.45B
270,HLMN,Hillman Solutions Corp.,1.90B,0.26%,112593,1.48B
271,SFL,SFL Corporation Ltd.,1.86B,-0.85%,152303,670.39M
272,CODI,Compass Diversified,1.85B,-1.34%,21544,2.06B
273,MRCY,"Mercury Systems, Inc.",1.85B,-0.71%,36873,895.17M
274,EPAC,Enerpac Tool Group Corp.,1.82B,-1.88%,12607,600.79M
275,POWL,"Powell Industries, Inc.",1.80B,0.03%,64315,766.47M
276,HURN,Huron Consulting Group Inc.,1.80B,-1.21%,12533,1.40B
277,AZZ,AZZ Inc.,1.79B,-1.86%,9554,1.51B
278,UPWK,Upwork Inc.,1.78B,0.39%,175052,689.14M
279,GIC,Global Industrial Company,1.71B,-1.41%,7557,1.21B
280,UP,Wheels Up Experience Inc.,1.69B,-0.21%,196339,1.25B
281,ULCC,"Frontier Group Holdings, Inc.",1.65B,-1.69%,418894,3.59B
282,GBX,"The Greenbrier Companies, Inc.",1.59B,-2.19%,61495,3.99B
283,HOLI,Hollysys Automation Technologies Ltd.,1.58B,0.75%,140367,786.22M
284,NVEE,"NV5 Global, Inc.",1.57B,-1.93%,3250,861.74M
285,BBU,Brookfield Business Partners L.P.,1.57B,-,191,55.07B
286,JELD,"JELD-WEN Holding, Inc.",1.57B,-0.05%,111734,4.30B
287,FLYX,"flyExclusive, Inc.",1.55B,3.30%,7817,497.41M
288,MRTN,"Marten Transport, Ltd.",1.54B,-1.72%,106081,1.13B
289,ENVX,Enovix Corporation,1.53B,-0.94%,964111,7.64M
290,GEO,"The GEO Group, Inc.",1.50B,-1.38%,328036,2.41B
291,NSSC,"Napco Security Technologies, Inc.",1.50B,-1.68%,100506,177.41M
292,HLIO,"Helios Technologies, Inc.",1.50B,-1.64%,5404,835.60M
293,SCS,Steelcase Inc.,1.48B,-1.77%,75279,3.19B
294,EVEX,"Eve Holding, Inc.",1.46B,-0.55%,5325,-
295,CDRE,"Cadre Holdings, Inc.",1.45B,-2.09%,23365,481.59M
296,DSGR,"Distribution Solutions Group, Inc.",1.43B,-2.77%,3178,1.57B
297,KFRC,Kforce Inc.,1.43B,-2.18%,15606,1.53B
298,ACHR,Archer Aviation Inc.,1.42B,7.97%,3917853,-
299,VVX,"V2X, Inc.",1.40B,-1.94%,8119,3.96B
300,PRG,"PROG Holdings, Inc.",1.40B,-2.37%,56477,2.41B
301,DAC,Danaos Corporation,1.37B,-0.44%,11989,973.58M
302,CDLR,Cadeler A/S,1.37B,-2.90%,16406,-
303,CMRE,Costamare Inc.,1.34B,-1.71%,109182,1.51B
304,NMM,Navios Maritime Partners L.P.,1.34B,-0.10%,112026,1.35B
305,ALGT,Allegiant Travel Company,1.33B,-2.18%,26431,2.51B
306,ZIM,ZIM Integrated Shipping Services Ltd.,1.32B,2.05%,1441439,6.15B
307,ASPN,"Aspen Aerogels, Inc.",1.30B,3.08%,182226,238.72M
308,KAMN,Kaman Corporation,1.29B,0.44%,207876,775.85M
309,LNN,Lindsay Corporation,1.27B,0.23%,6894,659.28M
310,WNC,Wabash National Corporation,1.25B,-1.90%,37135,2.54B
311,APOG,"Apogee Enterprises, Inc.",1.25B,-1.53%,10257,1.40B
312,ZIP,"ZipRecruiter, Inc.",1.23B,0.96%,35597,645.72M
313,CTOS,"Custom Truck One Source, Inc.",1.23B,-0.98%,230394,1.87B
314,CMCO,Columbus McKinnon Corporation,1.22B,-1.32%,4965,1.00B
315,VSEC,VSE Corporation,1.21B,-2.53%,37214,860.49M
316,MEG,"Montrose Environmental Group, Inc.",1.14B,4.54%,74419,624.21M
317,TGI,"Triumph Group, Inc.",1.13B,-4.54%,190797,1.36B
318,NX,Quanex Building Products Corporation,1.12B,-0.78%,18596,1.11B
319,AMRC,"Ameresco, Inc.",1.10B,3.64%,77639,1.37B
320,ARLO,"Arlo Technologies, Inc.",1.07B,0.31%,125053,491.18M
321,RYI,Ryerson Holding Corporation,1.05B,-1.62%,19481,5.11B
322,TDCX,TDCX Inc.,1.04B,0.14%,246709,498.75M
323,BXC,BlueLinx Holdings Inc.,1.04B,-2.61%,8848,3.14B
324,SP,SP Plus Corporation,1.02B,-0.09%,8094,1.78B
325,HY,"Hyster-Yale Materials Handling, Inc.",1.02B,-0.65%,7523,4.12B
326,BLDP,Ballard Power Systems Inc.,996.84M,-5.74%,2683519,76.69M
327,ULH,"Universal Logistics Holdings, Inc.",988.29M,1.00%,2001,1.73B
328,GRC,The Gorman-Rupp Company,984.76M,-2.01%,3372,659.51M
329,CRAI,"CRA International, Inc.",984.23M,-1.73%,3309,623.98M
330,REVG,"REV Group, Inc.",966.59M,-1.66%,100429,2.64B
331,HTLD,"Heartland Express, Inc.",965.99M,-1.06%,22771,1.21B
332,PRLB,"Proto Labs, Inc.",965.86M,-1.42%,9771,503.88M
333,CPLP,Capital Product Partners L.P.,960.43M,-0.66%,4647,360.59M
334,ECO,Okeanis Eco Tankers Corp.,956.81M,0.22%,8666,413.10M
335,HRT,HireRight Holdings Corporation,953.69M,0.07%,44075,731.20M
336,ASTE,"Astec Industries, Inc.",950.22M,-2.53%,11074,1.34B
337,TRNS,"Transcat, Inc.",949.57M,0.84%,6851,250.64M
338,FWRD,Forward Air Corporation,936.54M,-2.20%,131305,1.72B
339,THR,"Thermon Group Holdings, Inc.",935.58M,-0.76%,16233,489.46M
340,BV,"BrightView Holdings, Inc.",934.56M,-2.17%,43647,2.79B
341,TWI,"Titan International, Inc.",921.77M,-1.77%,21168,1.82B
342,KRNT,Kornit Digital Ltd.,919.62M,-1.82%,43214,219.79M
343,MATW,Matthews International Corporation,909.11M,0.20%,12497,1.88B
344,NKLA,Nikola Corporation,894.87M,3.31%,27223365,35.84M
345,GNK,Genco Shipping & Trading Limited,884.95M,-1.28%,155440,383.83M
346,XMTR,"Xometry, Inc.",882.66M,0.22%,89849,463.41M
347,TH,Target Hospitality Corp.,876.32M,-0.58%,37612,589.83M
348,KELYB,"Kelly Services, Inc.",873.23M,-,32,4.84B
349,KELYA,"Kelly Services, Inc.",872.88M,-2.30%,32017,4.84B
350,ERII,"Energy Recovery, Inc.",867.59M,-0.79%,74104,128.35M
351,ATSG,"Air Transport Services Group, Inc.",863.72M,-1.60%,46328,2.07B
352,AZUL,Azul S.A.,858.47M,0.13%,249792,3.01B
353,VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",852.07M,-1.22%,58003,2.85B
354,NAT,Nordic American Tankers Limited,843.54M,0.12%,463560,339.34M
355,PCT,"PureCycle Technologies, Inc.",843.04M,-4.97%,498768,-
356,SKYH,Sky Harbour Group Corporation,842.10M,0.16%,21813,5.95M
357,CYRX,"Cryoport, Inc.",825.04M,-1.48%,35913,236.35M
358,RGR,"Sturm, Ruger & Company, Inc.",801.60M,-0.37%,22194,543.77M
359,SWBI,"Smith & Wesson Brands, Inc.",791.54M,0.58%,385516,521.46M
360,SPLP,Steel Partners Holdings L.P.,788.52M,2.70%,658,1.91B
361,BBSI,"Barrett Business Services, Inc.",780.55M,-0.49%,4983,1.07B
362,VVI,Viad Corp,771.82M,-1.55%,7049,1.24B
363,CECO,CECO Environmental Corp.,769.85M,-1.00%,49739,544.85M
364,SNCY,"Sun Country Airlines Holdings, Inc.",767.39M,-1.74%,65656,1.05B
365,HAYN,"Haynes International, Inc.",758.67M,-0.13%,48856,604.64M
366,DXPE,"DXP Enterprises, Inc.",731.53M,-2.85%,22025,1.68B
367,PBI,Pitney Bowes Inc.,729.06M,-2.66%,274866,3.27B
